"2019-02-18 20:46:52" Welcome to Cetus3Dbasic
"2019-02-18 20:46:52" setup: WiFi 'FFamPennings' .... ESP8266 at 192.168.178.78
"2019-02-18 20:46:53" setup: Finding Cetus3D ... found 'MaartensCetus3D' at 192.168.178.10
"2019-02-18 20:46:53" stat:  seq#  clock : stat/statusname      layer  height done   remain  nozzle  hotbed 
"2019-02-18 21:08:36" stat: 00123 01307s : 0202/printing        L0009   0.2mm  18%  2:17:39   0.98x   0.34x 
"2019-02-18 21:08:47" stat: 00124 01318s : 0202/printing        L0009   0.2mm  18%  2:17:39   1.00x   0.34x 
"2019-02-18 21:08:57" stat: 00125 01328s : 0202/printing        L0009   0.2mm  18%  2:17:39   1.00x   0.34x 
"2019-02-18 21:09:07" stat: 00126 01338s : 0202/printing        L0009   0.2mm  18%  2:17:39   1.00x   0.34x 
"2019-02-18 21:09:18" stat: 00127 01349s : 0202/printing        L0009   0.2mm  18%  2:17:39   0.98x   0.34x 
"2019-02-18 21:09:28" stat: 00128 01359s : 0202/printing        L0009   0.2mm  18%  2:17:39   0.98x   0.34x 
"2019-02-18 21:09:38" stat: 00129 01369s : 0202/printing        L0009   0.2mm  18%  2:17:39   0.98x   0.34x 
"2019-02-18 21:09:48" stat: 00130 01380s : 0202/printing        L0009   0.2mm  18%  2:17:39   0.98x   0.34x 
"2019-02-18 21:09:59" stat: 00131 01390s : 0202/printing        L0009   0.2mm  18%  2:17:39   1.00x   0.34x 
"2019-02-18 21:10:09" stat: 00132 01400s : 0202/printing        L0009   0.2mm  18%  2:17:39   1.00x   0.34x 
"2019-02-18 21:10:19" stat: 00133 01410s : 0202/printing        L0009   0.2mm  18%  2:17:39   0.98x   0.34x 
"2019-02-18 21:10:30" stat: 00134 01421s : 0202/printing        L0009   0.2mm  18%  2:17:39   0.98x   0.34x 
"2019-02-18 21:10:40" stat: 00135 01431s : 0202/printing        L0009   0.2mm  18%  2:17:39   1.00x   0.34x 
"2019-02-18 21:10:50" stat: 00136 01441s : 0202/printing        L0009   0.2mm  18%  2:17:39   1.00x   0.34x 
"2019-02-18 21:11:01" stat: 00137 01452s : 0202/printing        L0009   0.2mm  18%  2:17:39   0.98x   0.34x 
"2019-02-18 21:11:11" stat: 00138 01462s : 0202/printing        L0009   0.2mm  18%  2:17:39   0.98x   0.34x 
"2019-02-18 21:11:21" stat: 00139 01472s : 0202/printing        L0009   0.2mm  18%  2:17:39   0.98x   0.34x 
"2019-02-18 21:11:31" stat: 00140 01483s : 0202/printing        L0009   0.2mm  18%  2:17:39   0.98x   0.34x 
"2019-02-18 21:11:42" stat: 00141 01493s : 0202/printing        L0009   0.2mm  18%  2:17:39   0.98x   0.34x 
"2019-02-18 21:11:52" stat: 00142 01503s : 0202/printing        L0009   0.2mm  18%  2:17:39   1.00x   0.34x 
"2019-02-18 21:12:03" stat: 00143 01514s : 0202/printing        L0009   0.2mm  18%  2:17:39   1.00x   0.34x 
"2019-02-18 21:12:13" stat: 00144 01524s : 0202/printing        L0010   0.4mm  20%  2:14:05   0.98x   0.34x 
"2019-02-18 21:12:24" stat: 00145 01535s : 0202/printing        L0010   0.4mm  20%  2:14:05   0.98x   0.34x 
"2019-02-18 21:12:34" stat: 00146 01545s : 0202/printing        L0010   0.4mm  20%  2:14:05   1.00x   0.34x 
"2019-02-18 21:12:44" stat: 00147 01555s : 0202/printing        L0010   0.4mm  20%  2:14:05   0.98x   0.34x 
"2019-02-18 21:12:54" stat: 00148 01566s : 0202/printing        L0010   0.4mm  20%  2:14:05   0.98x   0.34x 
"2019-02-18 21:13:05" stat: 00149 01576s : 0202/printing        L0010   0.4mm  20%  2:14:05   1.00x   0.34x 
"2019-02-18 21:13:15" stat: 00150 01586s : 0202/printing        L0010   0.4mm  20%  2:14:05   1.00x   0.34x 
"2019-02-18 21:13:25" stat: 00151 01596s : 0202/printing        L0010   0.4mm  20%  2:14:05   1.00x   0.34x 
"2019-02-18 21:13:36" stat: 00152 01607s : 0202/printing        L0010   0.4mm  20%  2:14:05   0.98x   0.34x 
"2019-02-18 21:13:46" stat: 00153 01617s : 0202/printing        L0010   0.4mm  20%  2:14:05   0.98x   0.34x 
"2019-02-18 21:13:56" stat: 00154 01627s : 0202/printing        L0010   0.4mm  20%  2:14:05   0.98x   0.34x 
"2019-02-18 21:14:07" stat: 00155 01638s : 0202/printing        L0010   0.4mm  20%  2:14:05   1.00x   0.34x 
"2019-02-18 21:14:17" stat: 00156 01648s : 0202/printing        L0010   0.4mm  20%  2:14:05   1.00x   0.34x 
"2019-02-18 21:14:27" stat: 00157 01658s : 0202/printing        L0011   0.6mm  22%  2:11:45   0.98x   0.34x 
"2019-02-18 21:14:37" stat: 00158 01669s : 0202/printing        L0011   0.6mm  22%  2:11:45   1.00x   0.34x 
"2019-02-18 21:14:48" stat: 00159 01679s : 0202/printing        L0011   0.6mm  22%  2:11:45   0.98x   0.34x 
"2019-02-18 21:14:58" stat: 00160 01689s : 0202/printing        L0011   0.6mm  22%  2:11:45   0.98x   0.34x 
"2019-02-18 21:15:08" stat: 00161 01700s : 0202/printing        L0011   0.6mm  22%  2:11:45   0.98x   0.34x 
"2019-02-18 21:15:19" stat: 00162 01710s : 0202/printing        L0011   0.6mm  22%  2:11:45   1.00x   0.34x 
"2019-02-18 21:15:31" loop: Get status failed
"2019-02-18 21:15:41" stat: 00163 01732s : 0202/printing        L0011   0.6mm  22%  2:11:45   1.00x   0.34x 
"2019-02-18 21:15:52" stat: 00164 01743s : 0202/printing        L0011   0.6mm  22%  2:11:45   1.00x   0.34x 
"2019-02-18 21:16:02" stat: 00165 01753s : 0202/printing        L0011   0.6mm  22%  2:11:45   1.00x   0.34x 
"2019-02-18 21:16:12" stat: 00166 01763s : 0202/printing        L0011   0.6mm  22%  2:11:45   0.98x   0.34x 
"2019-02-18 21:16:22" stat: 00167 01774s : 0202/printing        L0011   0.6mm  22%  2:11:45   1.00x   0.34x 
"2019-02-18 21:16:33" stat: 00168 01784s : 0202/printing        L0011   0.6mm  22%  2:11:45   1.00x   0.34x 
"2019-02-18 21:16:43" stat: 00169 01794s : 0202/printing        L0011   0.6mm  22%  2:11:45   0.98x   0.34x 
"2019-02-18 21:16:53" stat: 00170 01804s : 0202/printing        L0012   0.8mm  23%  2:09:25   1.00x   0.34x 
"2019-02-18 21:17:04" stat: 00171 01815s : 0202/printing        L0012   0.8mm  23%  2:09:25   1.00x   0.34x 
"2019-02-18 21:17:14" stat: 00172 01825s : 0202/printing        L0012   0.8mm  23%  2:09:25   0.98x   0.34x 
"2019-02-18 21:17:24" stat: 00173 01835s : 0202/printing        L0012   0.8mm  23%  2:09:25   0.98x   0.34x 
"2019-02-18 21:17:35" stat: 00174 01846s : 0202/printing        L0012   0.8mm  23%  2:09:25   0.98x   0.34x 
"2019-02-18 21:17:46" stat: 00175 01857s : 0202/printing        L0012   0.8mm  23%  2:09:25   0.98x   0.34x 
"2019-02-18 21:17:57" stat: 00176 01868s : 0202/printing        L0012   0.8mm  23%  2:09:25   1.00x   0.34x 
"2019-02-18 21:18:07" stat: 00177 01878s : 0202/printing        L0012   0.8mm  23%  2:09:25   1.00x   0.34x 
"2019-02-18 21:18:17" stat: 00178 01888s : 0202/printing        L0012   0.8mm  23%  2:09:25   1.00x   0.34x 
"2019-02-18 21:18:29" stat: 00179 01900s : 0202/printing        L0012   0.8mm  23%  2:09:25   0.98x   0.34x 
"2019-02-18 21:18:39" stat: 00180 01910s : 0202/printing        L0012   0.8mm  23%  2:09:25   0.98x   0.34x 
"2019-02-18 21:18:49" stat: 00181 01920s : 0202/printing        L0012   0.8mm  23%  2:09:25   1.00x   0.34x 
"2019-02-18 21:19:00" stat: 00182 01931s : 0202/printing        L0012   0.8mm  23%  2:09:25   1.00x   0.34x 
"2019-02-18 21:19:10" stat: 00183 01941s : 0202/printing        L0013   1.0mm  24%  2:07:05   1.00x   0.34x 
"2019-02-18 21:19:20" stat: 00184 01951s : 0202/printing        L0013   1.0mm  24%  2:07:05   1.00x   0.34x 
"2019-02-18 21:19:30" stat: 00185 01962s : 0202/printing        L0013   1.0mm  24%  2:07:05   0.98x   0.34x 
"2019-02-18 21:19:41" stat: 00186 01972s : 0202/printing        L0014   1.2mm  25%  2:06:36   0.98x   0.34x 
"2019-02-18 21:19:51" stat: 00187 01982s : 0202/printing        L0014   1.2mm  25%  2:06:36   0.98x   0.34x 
"2019-02-18 21:20:01" stat: 00188 01992s : 0202/printing        L0014   1.2mm  25%  2:06:36   1.00x   0.34x 
"2019-02-18 21:20:12" stat: 00189 02003s : 0202/printing        L0015   1.4mm  25%  2:06:07   0.98x   0.34x 
"2019-02-18 21:20:22" stat: 00190 02013s : 0202/printing        L0015   1.4mm  25%  2:06:07   1.00x   0.34x 
"2019-02-18 21:20:32" stat: 00191 02023s : 0202/printing        L0015   1.4mm  25%  2:06:07   1.00x   0.34x 
"2019-02-18 21:20:43" stat: 00192 02034s : 0202/printing        L0016   1.6mm  25%  2:05:38   0.98x   0.34x 
"2019-02-18 21:20:53" stat: 00193 02044s : 0202/printing        L0016   1.6mm  25%  2:05:38   1.00x   0.34x 
"2019-02-18 21:21:03" stat: 00194 02054s : 0202/printing        L0016   1.6mm  25%  2:05:38   1.00x   0.34x 
"2019-02-18 21:21:13" stat: 00195 02065s : 0202/printing        L0017   1.8mm  26%  2:05:09   0.98x   0.34x 
"2019-02-18 21:21:24" stat: 00196 02075s : 0202/printing        L0017   1.8mm  26%  2:05:09   1.00x   0.34x 
"2019-02-18 21:21:34" stat: 00197 02085s : 0202/printing        L0018   2.0mm  26%  2:04:41   1.00x   0.34x 
"2019-02-18 21:21:44" stat: 00198 02095s : 0202/printing        L0018   2.0mm  26%  2:04:41   0.98x   0.34x 
"2019-02-18 21:21:55" stat: 00199 02106s : 0202/printing        L0018   2.0mm  26%  2:04:41   1.00x   0.34x 
"2019-02-18 21:22:05" stat: 00200 02116s : 0202/printing        L0019   2.2mm  26%  2:04:12   0.98x   0.34x 
"2019-02-18 21:22:15" stat: 00201 02126s : 0202/printing        L0019   2.2mm  26%  2:04:12   0.98x   0.34x 
"2019-02-18 21:22:26" stat: 00202 02137s : 0202/printing        L0019   2.2mm  26%  2:04:12   1.00x   0.34x 
"2019-02-18 21:22:36" stat: 00203 02147s : 0202/printing        L0020   2.4mm  26%  2:03:43   0.98x   0.34x 
"2019-02-18 21:22:46" stat: 00204 02157s : 0202/printing        L0020   2.4mm  26%  2:03:43   0.98x   0.34x 
"2019-02-18 21:22:57" stat: 00205 02168s : 0202/printing        L0020   2.4mm  26%  2:03:43   0.98x   0.34x 
"2019-02-18 21:23:07" stat: 00206 02178s : 0202/printing        L0021   2.6mm  27%  2:03:14   0.98x   0.34x 
"2019-02-18 21:23:17" stat: 00207 02188s : 0202/printing        L0021   2.6mm  27%  2:03:14   1.00x   0.34x 
"2019-02-18 21:23:28" stat: 00208 02199s : 0202/printing        L0021   2.6mm  27%  2:03:14   1.00x   0.34x 
